W0730 10:40:16.921000 2471212 site-packages/torch/distributed/run.py:792] 
W0730 10:40:16.921000 2471212 site-packages/torch/distributed/run.py:792] *****************************************
W0730 10:40:16.921000 2471212 site-packages/torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0730 10:40:16.921000 2471212 site-packages/torch/distributed/run.py:792] *****************************************
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
batch shape: torch.Size([4, 5, 3, 224, 224]) (B=4, S=5)
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
参数数量: 111.7M
✅ Forward pass 成功! loss=1.401407, pred=torch.Size([20, 196, 768]), mask_rate=0.750
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /data/data_taohy/modelReShow/mum/wandb/run-20260730_104034-vniznuu8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run mum_vit_base_S3-5_steps50k
wandb: ⭐️ View project at https://wandb.ai/3222703726-huazhong-university-of-science-and-technology/MuM
wandb: 🚀 View run at https://wandb.ai/3222703726-huazhong-university-of-science-and-technology/MuM/runs/vniznuu8
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
/data/xyjiang/anaconda3/envs/MuM/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:227: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
/data/xyjiang/anaconda3/envs/MuM/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:227: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
/data/xyjiang/anaconda3/envs/MuM/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:227: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
/data/xyjiang/anaconda3/envs/MuM/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:227: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
🔄 从 step 25200 恢复训练 (loss=0.5210)
设备: cuda:0, GPU数: 4, 场景数: 113, 样本数: 452, S∈[3,5], AMP=bf16
有效 batch: 32, 总优化步数: 50000, warmup: 1000
模型: vit_base, norm_layer: layernormbf16
[step  25250/50000] loss=0.5317 | lr=7.62e-05 | 49.2s
[step  25300/50000] loss=0.5370 | lr=7.60e-05 | 50.9s
[step  25350/50000] loss=0.5160 | lr=7.57e-05 | 51.6s
[step  25400/50000] loss=0.5238 | lr=7.55e-05 | 51.4s
[step  25450/50000] loss=0.5399 | lr=7.52e-05 | 51.8s
[step  25500/50000] loss=0.5217 | lr=7.50e-05 | 52.5s
[step  25550/50000] loss=0.5365 | lr=7.48e-05 | 52.4s
[step  25600/50000] loss=0.5282 | lr=7.45e-05 | 53.5s
[step  25650/50000] loss=0.5121 | lr=7.43e-05 | 52.4s
[step  25700/50000] loss=0.5064 | lr=7.40e-05 | 51.5s
[step  25750/50000] loss=0.5315 | lr=7.38e-05 | 53.3s
[step  25800/50000] loss=0.5121 | lr=7.36e-05 | 51.7s
[step  25850/50000] loss=0.5408 | lr=7.33e-05 | 52.5s
[step  25900/50000] loss=0.5146 | lr=7.31e-05 | 51.9s
[step  25950/50000] loss=0.5239 | lr=7.28e-05 | 53.0s
[step  26000/50000] loss=0.5160 | lr=7.26e-05 | 52.1s
[step  26050/50000] loss=0.5187 | lr=7.24e-05 | 53.5s
[step  26100/50000] loss=0.5135 | lr=7.21e-05 | 52.6s
[step  26150/50000] loss=0.5488 | lr=7.19e-05 | 51.7s
[step  26200/50000] loss=0.5121 | lr=7.16e-05 | 53.0s
[step  26250/50000] loss=0.5184 | lr=7.14e-05 | 51.4s
[step  26300/50000] loss=0.5230 | lr=7.12e-05 | 52.5s
[step  26350/50000] loss=0.5100 | lr=7.09e-05 | 52.5s
[step  26400/50000] loss=0.5398 | lr=7.07e-05 | 52.2s
[step  26450/50000] loss=0.5050 | lr=7.04e-05 | 52.7s
[step  26500/50000] loss=0.5276 | lr=7.02e-05 | 51.2s
[step  26550/50000] loss=0.5332 | lr=7.00e-05 | 52.9s
[step  26600/50000] loss=0.5141 | lr=6.97e-05 | 52.0s
[step  26650/50000] loss=0.5241 | lr=6.95e-05 | 52.2s
[step  26700/50000] loss=0.5295 | lr=6.92e-05 | 52.0s
[step  26750/50000] loss=0.4981 | lr=6.90e-05 | 51.7s
[step  26800/50000] loss=0.5046 | lr=6.88e-05 | 53.6s
[step  26850/50000] loss=0.5298 | lr=6.85e-05 | 51.5s
[step  26900/50000] loss=0.5238 | lr=6.83e-05 | 52.2s
[step  26950/50000] loss=0.5163 | lr=6.80e-05 | 52.1s
[step  27000/50000] loss=0.5241 | lr=6.78e-05 | 52.8s
  💾 Checkpoint → /data/data_taohy/modelReShow/mum/checkpoints/mum_0730-104027_step27000.pth
wandb: WARNING Saving files without folders. If you want to preserve subdirectories pass base_path to wandb.save, i.e. wandb.save("/mnt/folder/file.h5", base_path="/mnt")
[step  27050/50000] loss=0.5202 | lr=6.76e-05 | 54.6s
[step  27100/50000] loss=0.4874 | lr=6.73e-05 | 51.6s
[step  27150/50000] loss=0.5075 | lr=6.71e-05 | 53.4s
[step  27200/50000] loss=0.5118 | lr=6.68e-05 | 51.6s
[step  27250/50000] loss=0.5293 | lr=6.66e-05 | 52.8s
[step  27300/50000] loss=0.5169 | lr=6.64e-05 | 51.7s
[step  27350/50000] loss=0.5049 | lr=6.61e-05 | 52.7s
[step  27400/50000] loss=0.5075 | lr=6.59e-05 | 51.9s
[step  27450/50000] loss=0.5001 | lr=6.56e-05 | 52.1s
[step  27500/50000] loss=0.5068 | lr=6.54e-05 | 52.6s
[step  27550/50000] loss=0.5157 | lr=6.52e-05 | 51.7s
[step  27600/50000] loss=0.5321 | lr=6.49e-05 | 52.6s
[step  27650/50000] loss=0.4989 | lr=6.47e-05 | 51.8s
