W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] 
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] *****************************************
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] *****************************************
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
batch shape: torch.Size([4, 5, 3, 224, 224]) (B=4, S=5)
参数数量: 21.3M
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
✅ Forward pass 成功! loss=1.396904, pred=torch.Size([20, 196, 768]), mask_rate=0.750
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: 3222703726 (3222703726-huazhong-university-of-science-and-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /data/data_taohy/modelReShow/mum/wandb/run-20260730_154105-3lxp7m0h
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run mum_vit_small_S3-5_steps15k
wandb: ⭐️ View project at https://wandb.ai/3222703726-huazhong-university-of-science-and-technology/MuM
wandb: 🚀 View run at https://wandb.ai/3222703726-huazhong-university-of-science-and-technology/MuM/runs/3lxp7m0h
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
设备: cuda:0, GPU数: 4, 场景数: 113, 样本数: 452, S∈[3,5], AMP=bf16
有效 batch: 32, 总优化步数: 15000, warmup: 1000
模型: vit_small, norm_layer: layernormbf16
[step     50/15000] loss=0.9557 | lr=5.10e-04 | 24.1s
[step    100/15000] loss=0.8809 | lr=1.01e-03 | 22.1s
[step    150/15000] loss=0.8314 | lr=1.51e-03 | 21.1s
[step    200/15000] loss=0.8321 | lr=2.01e-03 | 22.0s
[step    250/15000] loss=0.8207 | lr=2.51e-03 | 21.6s
[step    300/15000] loss=0.7409 | lr=3.01e-03 | 22.4s
[step    350/15000] loss=0.7275 | lr=3.51e-03 | 21.8s
[step    400/15000] loss=0.7026 | lr=4.01e-03 | 23.0s
[step    450/15000] loss=0.6971 | lr=4.51e-03 | 22.9s
[step    500/15000] loss=0.6878 | lr=5.01e-03 | 22.3s
[step    550/15000] loss=0.7071 | lr=5.51e-03 | 22.8s
[step    600/15000] loss=0.6595 | lr=6.01e-03 | 21.7s
[step    650/15000] loss=0.6843 | lr=6.51e-03 | 22.7s
[step    700/15000] loss=0.6536 | lr=7.01e-03 | 21.9s
[step    750/15000] loss=0.6557 | lr=7.51e-03 | 22.7s
[step    800/15000] loss=0.6534 | lr=8.01e-03 | 22.6s
[step    850/15000] loss=0.6434 | lr=8.51e-03 | 21.9s
[step    900/15000] loss=0.6415 | lr=9.01e-03 | 22.6s
[step    950/15000] loss=0.6671 | lr=9.51e-03 | 22.2s
[step   1000/15000] loss=0.6308 | lr=1.00e-02 | 22.9s
[step   1050/15000] loss=0.6309 | lr=1.00e-02 | 22.1s
[step   1100/15000] loss=0.6291 | lr=1.00e-02 | 22.3s
[step   1150/15000] loss=0.6030 | lr=1.00e-02 | 23.0s
[step   1200/15000] loss=0.6397 | lr=9.99e-03 | 22.2s
[step   1250/15000] loss=0.5909 | lr=9.99e-03 | 22.9s
[step   1300/15000] loss=0.6264 | lr=9.99e-03 | 22.1s
[step   1350/15000] loss=0.6212 | lr=9.98e-03 | 22.7s
[step   1400/15000] loss=0.5936 | lr=9.98e-03 | 22.1s
[step   1450/15000] loss=0.6046 | lr=9.97e-03 | 22.4s
